127.0.0.1 - - [05/Mar/2021:10:36:43 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2021:10:37:04 +0530] "GET /springmvc/ HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [05/Mar/2021:10:37:11 +0530] "GET /springmvc/hello HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Mar/2021:10:38:22 +0530] "GET /springmvc/ HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [05/Mar/2021:10:38:37 +0530] "GET /springmvc/Second.jsp HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [05/Mar/2021:11:19:59 +0530] "GET /springmvc//hello HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [05/Mar/2021:11:20:08 +0530] "GET /springmvc/hello HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Mar/2021:11:20:09 +0530] "GET /springmvc/hello HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Mar/2021:11:20:09 +0530] "GET /springmvc/hello HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [05/Mar/2021:11:20:27 +0530] "GET /springmvc/Second.jsp HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [05/Mar/2021:15:54:49 +0530] "GET /springmvc/ HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [05/Mar/2021:15:56:23 +0530] "GET /springmvc/ HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [05/Mar/2021:15:56:24 +0530] "GET /springmvc/Second.jsp?fname=John&lname=Doe HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [05/Mar/2021:15:59:07 +0530] "GET /springmvc/ HTTP/1.1" 200 331
